ActorID;MovieID;Role
1911512H;3324574L;Man in Casino
1911512H;3412398M;Coach Otto Parts
1911514H;3267108K;Paramedic
1911517H;2823822B;
1911519H;3426412M;Himself
1911521H;2797375A;Student
1911521H;3767979T;Thug
1911522H;2750323A;Himself
1911523H;3978353Y;Poe Posse
1911525H;3676786S;Himself
1911526H;2916407C;Kevin Lewowski
1911529H;3135510G;Himself - Filmmaker
1911530H;3614781S;Lee Kang Joo/Hyo Young
1911531H;2707554-;Orphan
1911532I;3218717I;Priest
1911534I;3566294R;Walter Wally
1911536I;3718926T;Ken Cottam
1911537I;3824827T;Dancing Guy
1911539I;3856353T;Human
1911541I;3768880T;Servant Thomas
1911542I;3673781S;Barkeep
1911544I;3412253M;Dog Model
1911544I;3412254M;Dog Model
1911545I;2965572D;Zombie #1
1911545I;3066036F;TV Announcer
1911546I;3131493G;Himself
1911546I;3694942S;Israel Young
1911547I;3056274E;Head of culture film department
1911547I;3082057F;Man in Synagouge
1911548J;3112216G;Hawkins' Deputy
1911549J;3322532L;The Dirtbags
1911549J;3961610W;Ali Babba Sezme
1911550J;2746772A;Joey
1911551J;2707837-;Bright Eyes
1911551J;3068486F;Banker
1911551J;3423969M;Trowbridge Montrose
1911551J;3455259N;Judge Prescott
1911551J;3752909T;Dr. Reisner
1911551J;3791845T;George Phillips
1911551J;3814049T;Granville Walters
1911551J;3850703T;Smooth George Mabray
1911552J;3671269S;Himself
1911553J;3825996T;Friend
1911553J;3937835W;Tripping Runner
1911554J;3839106T;Mario Cassell
1911556J;2770030A;Grandfather
1911556J;2836040B;Second Policeman
1911556J;2837028B;Dwayne Nugent
1911556J;3211699I;Prison Guard 2
1911556J;3616961S;Grandpa Ogden
1911556J;3647434S;Store Employee
1911557J;3056254E;Himself
1911557J;3056256E;Himself
1911557J;3773744T;
1911557J;3773745T;
1911560J;2740332A;Hans
1911560J;3340682L;Beggar
1911564J;2905671C;Jamie
1911565J;3596424R;Thief
1911566J;2753923A;President Franklin D. Roosevelt
1911566J;2756415A;Ship's Captain
1911566J;3024024E;Franklin D. Roosevelt
1911566J;3405581M;President Roosevelt
1911566J;3818722T;Banker
1911566J;3857169T;Franklin D. Roosevelt
1911566J;3949401W;
1911566J;3959497W;Senator
1911566J;3972568Y;The President
1911567J;3453321N;
1911569J;2917631C;Phillip Burke
1911569J;3247304J;Brendan
1911569J;3353625L;
1911569J;3574156R;Courtney's Husband
1911570J;2949616D;
1911571J;3309656L;McCormick
1911572J;3398038M;Amarillo Desk Sergeant
1911573J;3376151M;Daquan
1911574J;3378710M;
1911575J;3106741G;Jackson
1911576J;3583220R;Coffee
1911577J;3396286M;Waitress
1911579J;2723147-;Himself
1911579J;2961962D;Lucky Spencer/JR Chandler
1911579J;3202894I;Dr. Kent
1911579J;3769661T;Hunter
1911579J;3795191T;Himself
1911582J;2715326-;Himself - Texas A&M Aggies Punter
1911583J;3159368H;Party Guest
1911585J;3127049G;Sam Joel
1911585J;3157316H;Lucas
1911586J;2742609A;Trace
1911588J;3647187S;Ronnie Ronzone
1911588J;3656723S;Smiler
1911588J;3786720T;Rock
1911589J;2848829B;George
1911589J;2852758B;Prometheus
1911589J;2870273B;Corey
1911589J;2961304D;Michael
1911589J;3012032D;Mark
1911589J;3018558D;Private Samule Makenna
1911589J;3088502F;Dylan
1911589J;3211808I;Cole
1911589J;3440191N;Timothy (2016)
1911589J;3588068R;Andy
1911589J;3794412T;Robert Jenkins
1911589J;3836106T;Thomas
1911589J;3918247V;Matthew
1911589J;3949058W;Kyle
1911589J;3954431W;Omar
1911590J;2712564-;Baby 5
1911592J;2793848A;
1911593J;3779851T;Boy 1
1911595J;3374226M;
1911596J;2741103A;Kid at Playground
1911597J;2916095C;Paradise
1911598J;2730021A;Pietro, Police Spy
1911598J;2736300A;Paul Morley, a Morphine Addict
1911598J;2736804A;
1911598J;2743310A;Dick Linden
1911598J;2746629A;James Young
1911598J;2829575B;Beau Brummel
1911598J;2830332B;Henry Blunt, the Commodore's Son
1911598J;2906063C;
1911598J;2960675D;David Garrick
1911598J;2971198D;Count Brainless
1911598J;3126404G;
1911598J;3152489H;A French Official
1911598J;3207792I;
1911598J;3227540J;Nakamuta, a Japanese Merchant
1911598J;3234656J;
1911598J;3304405L;
1911598J;3338396L;
1911598J;3353667L;George Fairchild
1911598J;3407981M;Lorenzo, the Court Physician
1911598J;3420095M;Trapper - a Detective
1911598J;3420784M;David Burton - the Thief
1911598J;3480915O;Gerald Trask
1911598J;3530227P;Baptiste, a Hunchback
1911598J;3534060P;Jack Winget - Betty's Sweetheart
1911598J;3546486P;James Howe - Clara's Sweetheart
1911598J;3553501P;Mr. Johnson's Son
1911598J;3663390S;Tom Drake
1911598J;3708936T;Cummings - the Man from the City
1911598J;3758095T;Bob
1911598J;3766841T;Colonel Birnelli
1911598J;3771701T;
1911598J;3776802T;Nattoo
1911598J;3782826T;Dickie Dewes
1911598J;3783304T;Markham's Friend
1911598J;3787512T;Harold
1911598J;3791449T;Gavin Dishart, the Little Minister
1911598J;3798984T;Second in Command of the John M
1911598J;3801755T;Werner's Son, the Model for St. John
1911598J;3803040T;
1911598J;3803959T;Second Thief
1911598J;3807504T;Colonel Weston
1911598J;3812157T;The Detective
1911598J;3813180T;Dingley - a Married Man Who Smokes
1911598J;3814471T;Ralph Dryden
1911598J;3836989T;Betty's Brother
1911598J;3845483T;Jean - Yvonne's Sweetheart
1911598J;3851920T;
1911598J;3883366T;
1911598J;3890853T;Sir Andrew Aguecheek
1911598J;3912405U;Billy Gilwater
1911598J;3937984W;Tom
1911598J;3939695W;
1911598J;3939696W;
1911598J;3949993W;Bert Sebastian - the Son
1911598J;3950648W;
1911599J;2856653B;Zeke
1911599J;3512241P;Cop 2
1911599J;3570818R;Det. Maxie Malleson
1911600J;3082296F;Gus
1911601J;2889716C;Reportero Variety
1911602J;3449814N;Himself
1911603J;3621310S;
1911604J;2739319A;Kane
1911604J;2826563B;Henchman
1911604J;3566205R;Guard #2
1911604J;3689825S;Thug
1911606J;2908796C;
1911607J;3581441R;Wedding Dancer
1911610J;2972389D;Ahmed
1911611J;3264006K;Doctor Righteous
1911611J;3342727L;Himself
1911611J;3484628O;Himself - Lead Guitar, Vocals
1911611J;3690775S;Himself (Styx: guitars, vocals)
1911611J;3690778S;Guitar, backing and lead vocals
1911611J;3734756T;Himself
1911612J;2990440D;Himself (trombone)
1911612J;3162600H;Louis' Trombonist
1911612J;3610088S;Himself - 'Trummy' Young
1911612J;3758280T;Himself - Trombonist
1911612J;3770233T;Himself
1911615J;2866779B;Zeb
1911615J;2942689C;Detective Constable
1911615J;2966455D;Ben
1911615J;3105429G;Lennie
1911615J;3215611I;Nick
1911615J;3267306K;Danny Swift
1911615J;3449166N;Freddy
1911615J;3500327P;
1911615J;3694679S;John
1911615J;3701804S;Monkey Man
1911615J;3888221T;Mr. Owens
1911615J;3892254T;Angus
1911615J;3912593U;Lino
1911616J;3657787S;Tama's Friend
1911617J;3247265J;Jeremy
1911618J;3624413S;Priest
1911619J;3541627P;Himself - Restoration and Remastering Engineer
1911620J;3810160T;
1911621J;3111249G;Stevens - Olympic Team
1911621J;3431244M;Ben Jefferson
1911621J;3712778T;Russ Johnson
1911621J;3735990T;Graham's Former Boss
1911621J;3838398T;Lt. Eddie Dykes
1911621J;3848426T;Cadet Verifying Amnesty Custom
1911622J;3180060H;Courier 2
1911622J;3351539L;Re-enactor
1911623J;2838220B;Himself
1911624J;3550216P;
1911626J;3701881S;Kracker Band: Acoustic Guitar
1911628J;2809851A;Himself - Chief Coroner for Ontario
1911629J;3142685H;Gordon
1911629J;3222806I;The Doctor
1911629J;3350947L;Thomas Cradle
1911629J;3432118M;Gimpy Magoo
1911629J;3442041N;Adolf Hitler
1911630J;3610932S;Inmate 2
1911631J;3096909F;Vice
1911632J;3683301S;Bum #3
1911633J;3528728P;
1911634J;3318585L;Le beau-frre
1911635J;2908727C;Party Goer #12
1911637J;3369575M;
1911637J;3369576M;
1911637J;3789555T;Gabriel
1911637J;3951705W;Jared Young
1911638J;3359683L;Paul
1911639J;3240842J;Logan
1911640J;2756632A;Bill Peterson
1911640J;2756633A;Bill Peterson
1911640J;3038656E;Liam Oakley-Brown
1911640J;3353404L;Michael
1911640J;3556527Q;Jared
1911640J;3574507R;Young Architect
1911640J;3807191T;Tiny Pirate
1911640J;3929087V;Jerry, Cop 1
1911641J;3949552W;Pastor Raymond
1911642J;3192229I;Nephi
1911643J;2892919C;Spectator
1911643J;3357620L;Gaurd 3
1911644J;3875882T;
1911646J;3225679I;Doc Young - Ring Announcer
1911646J;3440666N;Teenaged Mickey Fan
1911646J;3876824T;Fan in Hospital
1911646J;3967527W;Ring Announcer
1911647J;2714039-;Nathan
1911647J;2773906A;Posse Member
1911647J;3054748E;Justin
1911647J;3192913I;Himself - Dancer
1911647J;3365193M;Himself - Performer
1911647J;3365194M;Himself - Dance Captain
1911647J;3800102T;Baby Lords
1911647J;3854562T;Pound Employee
1911647J;3976961Y;Dancer
1911648J;3765087T;Mike
1911648J;3801277T;Himself
1911648J;3819907T;Soldier
1911649J;2864381B;Kale
1911650J;3962021W;
1911651J;2911926C;Percussion/Background Vocals
1911652J;3197367I;Gangster
1911652J;3207357I;Hitman
1911652J;3653460S;Ed Gein Fan
1911657J;3511796P;Deputy 1
1911659J;3380539M;Peter
1911660J;3054748E;Justin
1911660J;3207357I;Hitman
1911660J;3210296I;Dancer
1911660J;3354930L;Additional Player
1911660J;3555859Q;Phil & Demon #2
1911660J;3675762S;
1911660J;3820327T;1st A.D. Jason
1911660J;3854562T;Dog Kennel Worker
1911660J;3944240W;Cowboy
1911660J;3946470W;Shady Dealer
1911661J;3388416M;Belize extra
1911662J;2956032D;Vinny
1911663J;3242806J;Pacashau Sacred Divinity Musician (Trumpet)
1911664J;3793067T;DAVE
1911665J;2722081-;Wut
1911669J;2729731A;Crazy Patron
1911669J;2886668C;Edward (Director)
1911669J;2905327C;Victim #1
1911669J;3105049G;The Beast
1911669J;3156027H;Ghost
1911669J;3309245L;Father
1911669J;3464313N;Patches
1911669J;3741440T;Man
1911669J;3751263T;Howard La Creme Jr.
1911669J;3771992T;Father Steadman
1911669J;3917633V;Father
1911670J;3952332W;Professor
1911671J;3510386P;Harry
1911671J;3589647R;Harold
1911671J;3649617S;SID Agent
1911673J;3144187H;Pusher
1911673J;3177928H;Jack
1911673J;3220992I;Arcade Man 2
1911673J;3660215S;Band Member 1
1911673J;3864704T;Jacob Jones
1911676J;3729782T;Doctor
1911677J;2819969B;Groom
1911677J;3063374F;Allan Michaels
1911677J;3072239F;David Atkinson
1911677J;3800452T;Jeron
1911678J;3865229T;
1911679J;3059081E;Girl in Topless Bondage
1911679J;3436835N;
1911679J;3702399S;
1911680J;3006408D;
1911680J;3654610S;Constable McPheeny (segment "The Range")
1911681J;3525961P;Kid #1
1911681J;3570462R;Friend #1 (segment "Tears")
1911681J;3688994S;Office Voice
1911681J;3753421T;Himself (Megadeth guitarist)
1911682J;3852796T;Anesthetist
1911684J;3227957J;Himself (Hammond organ, vocals)
1911685J;3916586V;Detective #1
1911686J;2931479C;Himself - Elia Kazan Biographer
1911687J;3114353G;Tow Truck Driver
1911688J;3061836F;Himself
1911689J;3323944L;Young Hero
1911692J;3103375G;Himself
1911693J;3310065L;Himself
1911694J;3927423V;Lord Splaine
1911695J;2725475A;Easter
1911696J;3099520F;Skater 3
1911698J;3629560S;Combat Bot
1911699J;3570455R;Maitre D'
1911699J;3958161W;Man in Oriental Suite
1911701J;3140535H;Himself
1911701J;3169371H;Club Patron #6
1911703J;2781481A;First Guard
1911703J;2939937C;
1911704J;3767683T;Officer Walker
1911705J;3807251T;Sissy Kellaher
1911706J;2940375C;Sandy Quillen
1911708J;3778692T;Isaiah
1911709J;2728886A;
1911709J;2941041C;Tim Reilly
1911709J;2981933D;Jack Bartlett
1911709J;3060425E;Monk
1911709J;3092519F;2nd Helper
1911709J;3095051F;Detective
1911709J;3132434G;Judas Hole Waiter
1911709J;3174322H;Immigration Officer
1911709J;3520283P;Des
1911709J;3564848R;Court Messenger
1911709J;3590574R;1st Watch
1911709J;3753278T;Judge
1911709J;3849379T;Policeman
1911710J;3770344T;Gabe
1911711J;3463226N;Hot Douche #1
1911712J;2715437-;Himself - Southern Mississippi Golden Eagles Quarterback
1911715J;3618904S;Homeless Hank
1911717J;3784814T;Himself
1911718J;2796599A;PFC Fairbanks
1911719J;3221099I;The Boy
1911719J;3346259L;Minor Role
1911719J;3742535T;Minor Role
1911720J;3461231N;Park Extra
1911721J;2710568-;Himself
1911721J;2816552B;New Jack
1911721J;2823288B;Himself
1911721J;2840554B;Himself
1911721J;2869700B;New Jack
1911721J;2947480C;New Jack
1911721J;2947483C;New Jack
1911721J;3002184D;New Jack/Himself
1911721J;3023475E;New Jack
1911721J;3023476E;New Jack
1911721J;3023477E;New Jack
1911721J;3023479E;New Jack
1911721J;3023485E;New Jack
1911721J;3023486E;New Jack
1911721J;3023487E;New Jack
1911721J;3023489E;New Jack
1911721J;3023490E;New Jack
1911721J;3023493E;New Jack
1911721J;3023498E;New Jack
1911721J;3023502E;New Jack
1911721J;3023504E;New Jack
1911721J;3023506E;New Jack
1911721J;3023507E;New Jack
1911721J;3023508E;New Jack
1911721J;3023509E;New Jack
1911721J;3023518E;New Jack
1911721J;3023519E;New Jack
1911721J;3023520E;Himself
1911721J;3059524E;New Jack
1911721J;3059527E;New Jack
1911721J;3059660E;New Jack
1911721J;3059665E;New Jack
1911721J;3059773E;
1911721J;3077524F;New Jack
1911721J;3088464F;Himself
1911721J;3146004H;New Jack
1911721J;3231013J;New Jack
1911721J;3447101N;New Jack
1911721J;3465890N;New Jack
1911721J;3553986P;New Jack
1911721J;3583224R;Himself
1911721J;3610622S;Bar Patron
1911721J;3657552S;New Jack
1911721J;3657553S;New Jack- The Gangstas
1911721J;3821957T;New Jack
1911721J;3866925T;New Jack
1911721J;3915082U;New Jack
1911721J;3929500V;New Jack
1911721J;3967500W;New Jack
1911721J;3968687W;New Jack
1911721J;3968794W;New Jack
1911721J;3968849W;New Jack
1911721J;3970682X;New Jack
1911722J;2754713A;Marvin Kleeburg
1911722J;2858519B;
1911722J;3077616F;Christopher Meier
1911722J;3568270R;T.V. Assistant Director
1911722J;3633968S;Usher
1911722J;3855096T;Spider
1911722J;3962770W;UPI Man
1911723J;3662186S;
1911724J;2778159A;Glen Shaydale
1911724J;3209239I;Father
1911725J;3393872M;Reverend Green
1911725J;3978588Y;Texas Investor
1911726J;2732742A;Police Constable
1911726J;3112993G;Large Man
1911727J;3061605F;
1911728J;3773007T;Horse Team Driver
1911729J;3831848T;Student
1911730J;3093798F;Harry Barnhart
1911731J;3355851L;Himself - Guest Artist, 'The Youngbloods'
1911731J;3387366M;Himself
1911731J;3430159M;Himself
1911731J;3430179M;Himself
1911732J;3537428P;Brian
1911734J;3245353J;American Soldier
1911735J;3776168T;Himself - Executive Editor, 'Pulp & Paper' Magazine
1911736J;2713328-;Himself - Purdue Boilermakers Head Coach
1911736J;2713364-;Himself - Purdue Boilermakers Head Coach
1911736J;2713433-;Himself - Army Black Knights Head Coach
1911736J;2713454-;Himself - Army Black Knights Head Coach
1911736J;2713493-;Himself - Army Black Knights Head Coach
1911736J;2713508-;Himself - Army Cadets Head Coach
1911736J;2713520-;Himself - Army Black Knights Head Coach
1911736J;2713544-;Himself - Army Black Knights Head Coach
1911736J;2713568-;Himself - Army Black Knights Head Coach
1911736J;2713597-;Himself - Army Black Knights Head Coach
1911736J;2713629-;Himself - Army Black Knights Head Coach
1911737J;2713313-;Himself - Houston Oilers Defensive End
1911737J;2713314-;Himself - Houston Oilers Defensive End
1911740J;3784118T;Drummer
1911741J;3085546F;Himself
1911742J;2893860C;Sportscaster
1911745J;2890457C;Mall Pedestrian
1911746J;2730892A;
1911746J;2878804B;Himself
1911746J;3304411L;Singer at Dance
1911746J;3376971M;Himself
1911746J;3492023O;Himself - Radio Presenter
1911746J;3560626R;Himself
1911746J;3818067T;Himself - Presenter 1967-1973
1911746J;3823961T;Minor Role
1911747J;2781558A;The Actor's Pal
1911748J;2826150B;
1911749J;3691681S;000000
1911750J;3458697N;Taxi Driver
1911753J;3728949T;Karen
1911754J;3003503D;
1911754J;3357304L;Henry
1911754J;3551454P;Nick Fury
1911756J;2732833A;Vivian's Step Father
1911757J;2942630C;Masochist
1911758J;2881802B;
1911760J;2842805B;
1911760J;3529118P;
1911761J;2718511-;Himself
1911764J;3783876T;Carl
1911765J;3223976I;Miss Mirp
1911766J;3238821J;Himself
1911770J;2965830D;Zombie
1911771J;2927889C;Willie Bairds son
1911772J;3005025D;Himself
1911773J;3821342T;Joel
1911774J;2794842A;Narrator #2
1911774J;2833800B;General Zod
1911774J;2863328B;New Guy In Town Bookie
1911774J;2888950C;Tristen
1911774J;2930478C;Daniel
1911774J;3155737H;Thomas 'Obi' Wayne
1911774J;3319622L;Three Fingers Squingelli
1911774J;3727122T;General Zod
1911774J;3727123T;Zod \ Dr, McCoy
1911775J;3322790L;
1911776J;3960827W;Younger Sister
1911777J;2740157A;
1911777J;2849802B;The Old Man
1911777J;2851118B;Dr. Hunter
1911777J;2902485C;Reverend. J.D. Liddell
1911777J;2961869D;Dr. Cameron
1911777J;3055219E;Artist
1911777J;3240845J;Shual
1911777J;3335328L;Matthias, Son of Deuteronomy of Gath
1911777J;3413175M;Dead Body/Historian Frank
1911777J;3413789M;Starkey's Man
1911777J;3416700M;Duncan Cameron
1911777J;3431677M;Shop assistant
1911777J;3457025N;Pay Clerk
1911777J;3583159R;Guard
1911777J;3754339T;Woodford Crane
1911777J;3776667T;Superintendent Doubtfire
1911777J;3798751T;Colonel Hill
1911777J;3826512T;Matthias
1911777J;3849184T;Fishmonger
1911777J;3864182T;Reginald
1911777J;3954853W;
1911779J;3691258S;
1911780J;3110784G;Homelss Guy
1911781J;3775059T;Hank
1911782J;2774449A;Moving Man 2
1911784J;2874527B;Veteran, Squad Leader, 1st Platoon
1911785J;3246652J;Guy in Bar
1911786J;3454940N;
1911787J;3068109F;Man in Car
1911788J;3903549U;Dredge Worker
1911789J;3286510L;
1911790J;2973708D;Himself
1911791J;2891402C;Service Station Attendant/Farmer/Speed Boat Attendant/Camping Park Manager
1911791J;3409602M;Himself - Artist
1911791J;3978672Y;Himself
1911791J;3978673Y;Himself
1911792J;2902331C;Ted
1911792J;3025451E;Benedikt
1911792J;3620624S;Josh
1911792J;3779718T;Carson
1911793J;2840569B;Himself
1911793J;2930577C;Himself - NASA Astronaut
1911793J;3086262F;Himself
1911793J;3158573H;Himself
1911793J;3206921I;Himself - Gemini, Apollo and STS astronaut
1911793J;3208640I;Himself
1911793J;3413526M;Himself - Astronaut
1911793J;3546950P;Himself
1911793J;3620830S;Himself
1911793J;3641637S;Himself - Astronaut
1911793J;3729213T;Himself
1911793J;3765068T;Himself - Apollo 10, 16
1911793J;3804300T;Himself - Apollo 16
1911793J;3809174T;Himself
1911793J;3850889T;Himself
1911793J;3939420W;Himself - Apollo 16 Astronaut
1911793J;3947746W;Himself - Apollo 16 Astronaut
1911794J;2863937B;Himself
1911796J;3247241J;Wonder Woman
1911797J;2940375C;Biker Fred
1911798J;3735888T;
1911800J;3080316F;Young Grace's Step-father
1911801J;2717648-;
1911802J;3960469W;FOX News Announcer
1911803J;2946386C;Old Compton Street Pedestrian
1911804J;3515240P;The Terrible Swede - a Wrestler
1911805J;3386041M;Longchamps Kid #2
1911806J;3795423T;
1911808J;3585637R;Drug Dealer
1911808J;3935213W;Donnie
1911811J;3046049E;Jimmy
1911811J;3239317J;Himself (Pianist)
1911812J;3186477I;Himself
1911813J;2818206B;Barkada
1911814J;3309814L;Cowboy #2
1911814J;3459326N;Pvt. Waller
1911815J;2721222-;Himself
1911815J;2722750-;Himself - Performer
1911815J;2773583A;Tony Capelletti
1911815J;2872696B;Himself
1911815J;3173805H;Himself
1911815J;3234688J;Frankie Valli
1911815J;3496703O;Nelson Hirsch
1911815J;3543126P;Frankie Valli
1911815J;3607240S;Man Sleeping
1911815J;3725582T;Himself - Presenter: Motown The Musical
1911815J;3838176T;Himself
1911815J;3851163T;Nelson hirsch
1911816J;3216761I;Lance
1911816J;3881829T;Corey
1911816J;3891504T;Jack
1911817J;2723885-;Interrogator/38
1911817J;2915234C;Paul
1911817J;3104996G;Himself
1911817J;3193532I;Max The Promotor
1911817J;3394224M;Max The Promotor
1911817J;3565247R;Hans: The Exterminator
1911817J;3600609S;Mr. Hickey
1911817J;3839832T;The Car Salesman
1911818J;2749975A;Himself
1911818J;2935727C;Himself - Performer
1911818J;2935728C;Himself - Performer
1911818J;2935729C;Himself
1911818J;3128576G;Himself (song "Love Is In The Air")
1911818J;3235200J;Himself/Annas
1911818J;3409602M;Himself - Artist
1911818J;3801974T;Himself
1911818J;3873481T;Himself
1911819J;2784672A;The Brother
1911819J;3649489S;Child
1911819J;3960827W;Older Brother
1911820J;3220607I;Narrator
1911821J;3721716T;Himself
1911821J;3725248T;Himself
1911822J;2790664A;Fat Guard
1911822J;2815798B;Executive #2
1911822J;2856816B;Santa
1911822J;2981623D;Critical Friend
1911822J;3082134F;Tech #1 (segment 'New Adventures of the Great Galaxy')
1911822J;3092461F;Dr. Alex Hoover
1911822J;3141506H;Prestopopnick
1911822J;3169801H;Mike
1911822J;3177593H;Would-be Writer
1911822J;3191234I;Louie King
1911822J;3358033L;TV Director
1911822J;3377439M;Santa Claus
1911822J;3412866M;Big Boomer
1911822J;3451396N;Papa
1911822J;3585470R;Tinker
1911822J;3617416S;Brock
1911822J;3667746S;Banker
1911822J;3824079T;Steve the Engineer
1911823J;3066541F;Himself
1911824J;3369385M;Young Blood
1911824J;3640955S;Mario
1911825J;3723297T;Dad
1911827J;3114353G;Funeral Attendee
1911827J;3616043S;Onlooker at Contest
1911827J;3620033S;Ruthless Assassin
1911827J;3765111T;Cop #2
1911828J;2941463C;Justin
1911828J;3038600E;Korean Patron #1
1911828J;3248565K;Johnny
1911828J;3387157M;Korean UDT
1911828J;3432007M;Bartender
1911828J;3627456S;Jimmy
1911828J;3634224S;Tommi Kim
1911828J;3654607S;Jae
1911828J;3949590W;Bill
1911829J;3932754V;Petey
1911830J;3773891T;
1911831J;2955726D;Kill Club Goer
1911831J;3730972T;
1911832J;3240088J;Doctor
1911833J;3064936F;Tony Young
1911834J;2878048B;Stan
1911834J;3129080G;The Crowd of Liberty City
1911834J;3129081G;The People of Liberty City
1911834J;3129096G;People of Vice City/Commercial Voice
1911834J;3945428W;Stair Climber
1911835J;3114248G;Himself
1911836J;3526989P;
1911837J;2952830D;
1911838J;3780023T;
1911839J;2707389-;Detective Grundle
1911839J;2777700A;ICE Agent
1911839J;2971254D;Vincent Ford
1911839J;3172130H;Henchman 2
1911839J;3222123I;Teddy Weldon
1911839J;3330150L;English Major Boyfriend
1911839J;3604612S;Matt
1911839J;3787529T;Tommy
1911839J;3813295T;Frank
1911839J;3875735T;Bearded Heckler
1911839J;3920285V;Famous Actor
1911840J;2917179C;Himself - mythologist - psychologist
1911840J;3679428S;Himself
1911840J;3680454S;Himself - Founding Curator, Joseph Campbell Archives
1911840J;3697604S;Himself - Psychologist
1911840J;3770562T;Himself - Psychologist
1911840J;3950260W;Himself
1911843J;3844550T;
1911844J;3145523H;The Lover, Jonathan
1911845J;3471103O;Field reporter
1911846J;3755601T;SWAT 2
1911847J;3527215P;
1911848J;3566150R;Jeff
1911848J;3861963T;
1911849J;3173695H;Darby
1911850J;3606694S;Blake
1911851J;3789151T;Annoyed Citizen
1911852J;3207230I;Abusive Husband
1911852J;3567811R;Demon Infected Guy
1911853J;3442942N;Travis
1911854J;3847330T;Student #1
1911855J;3703321S;Andre
1911855J;3849024T;Dad/Dark Voice
1911857J;2724533A;Macray
1911857J;2732575A;Bachelor Party Guy
1911857J;2767713A;Lloyd
1911857J;2791749A;Stinky
1911857J;2852845B;Young Gas Attendant
1911857J;2900088C;Poet Reader
1911857J;2912068C;Neil
1911857J;2932028C;Sanderson
1911857J;3021077E;Eakins
1911857J;3078191F;Sherman
1911857J;3150737H;Agent Guy
1911857J;3452021N;Visscher
1911857J;3543717P;Librarian
1911857J;3588590R;
1911857J;3692314S;Waiter
1911857J;3728713T;Eddie
1911857J;3748747T;Joseph
1911857J;3765577T;Dan The Weatherman
1911857J;3773283T;The Director
1911857J;3822613T;Narrator
1911857J;3825523T;Benny
1911857J;3829891T;Duncan
1911857J;3884310T;Gas Attendant
1911857J;3977053Y;Hugh
1911859J;2937401C;Casey Cannon
1911860J;3006286D;Jonno
1911860J;3014375D;Receptionist
1911860J;3087382F;Michael
1911860J;3447452N;Policeman
1911860J;3834550T;Male Patient
1911860J;3839798T;Sandy and Jimmy
1911860J;3957883W;Farmer
1911861J;2810296A;David at 10 Years
1911861J;3308646L;Smoking Boy
1911861J;3626597S;Kid
1911863J;2778723A;Bank Teller #2
1911863J;2894047C;Doctor
1911863J;3523449P;Diner Patron
1911863J;3742328T;Truman
1911863J;3958338W;Cowboy #2/Runner
1911864J;3061012F;Murdered Man
1911865J;3780023T;
1911867J;2912930C;Chubi
1911867J;3557415Q;Brix (segment "Forest")
1911869J;3846541T;Mike Simmons
1911870J;2786236A;
1911871J;3527945P;Student #5
1911874J;3104369G;Cyrus
1911875J;3169900H;
1911875J;3678394S;Himself - Performer
1911877J;2784883A;Noah
1911877J;2820805B;Guy
1911877J;3180632H;Chris
1911877J;3375195M;Steven 'Clem' Grogan
1911879J;3986920Z;Claudius
1911880J;3634162S;J2K of Flosstradamus
1911881J;3725577T;Himself - Performer & Nominee: Best Featured Actor in a Musical
1911884J;2729421A;Thomas McCray
1911884J;2855897B;Syd
1911885J;2858034B;Young Eddie
1911885J;2965646D;U.S. Army Private Harris
1911885J;3134428G;David
1911885J;3366283M;Jared
1911885J;3566519R;Joseph - the Scientist
1911885J;3838647T;Young Man
1911885J;3853949T;
1911885J;3891448T;Martyn
1911885J;3976733Y;Greg
1911886J;3057814E;Dan Curlock
1911886J;3312228L;Thomas Pinski
1911886J;3439890N;David Blanchard
1911886J;3640654S;Thomas Pinski
1911886J;3853920T;
1911887J;3171906H;Young Reuben
1911888J;3218515I;Child
1911889J;2892258C;Ryan
1911889J;3780627T;House Party Guest
1911890J;2869760B;Bar Patron
1911891J;2716679-;Elliot
1911891J;2724747A;Beach
1911891J;2787198A;Christian
1911891J;2891374C;Yang Meng Tang the Bassist
1911891J;2895320C;Brian
1911891J;3069206F;Adam
1911891J;3161705H;Elliott
1911891J;3172695H;Joey
1911891J;3214681I;Tim
1911891J;3219254I;Pete
1911891J;3398158M;Private Benjamin
1911891J;3594604R;Landon Cooper
1911891J;3657856S;Keith
1911891J;3708522T;Jonathan Reed
1911891J;3842846T;Damien
1911891J;3950983W;Dan Smith
1911892J;3712739T;
1911893J;3222806I;The Cat Lady
1911894J;3261613K;
1911895J;3082739F;Herself
1911896J;2876450B;Club Heckler
1911896J;3775729T;Zion
1911897J;2794760A;Himself
1911897J;3222345I;Himself
1911897J;3969051W;Himself
1911897J;3969052W;Himself
1911901J;2714248-;
1911901J;2754948A;
1911901J;2769161A;'X-ray' Ramone
1911901J;2769392A;
1911901J;2802209A;
1911901J;2815218B;
1911901J;2815222B;
1911901J;2819305B;
1911901J;2824301B;
1911901J;2824342B;
1911901J;2842833B;
1911901J;2843609B;
1911901J;2844364B;
1911901J;2844569B;
1911901J;2844584B;
1911901J;2852345B;
1911901J;2858564B;
1911901J;2862832B;Federal Agent 2
1911901J;2866877B;
1911901J;2867523B;
1911901J;2868775B;
1911901J;2869990B;
1911901J;2875729B;
1911901J;2875730B;
1911901J;2875731B;
1911901J;2875732B;
1911901J;2875735B;
1911901J;2875743B;
