Movie,Path
The Emperor's Club (2002),[10M-50M[#[10M-100M[*[10M-100M[#Good
The Mask (1994),Three months#[10M-50M[*[10M-50M[#> 100M*> 100M#Good
The Hard Way (1991),[10M-100M[#Good
Star Stuff (2015),Less than a week#[1K-5K[
For Love Alone (2010),Two months#[5M-10M[
All the Real Girls (2003),Three months#[1M-5M[*[1M-5M[#< 1M*< 1M#Good
Le plus beau mtier du monde (1996),< 1M#Below average
Hotel der toten Gste (1965),< 1M#Below average
The Three Musketeers (1948),[1M-5M[#[1M-10M[*[1M-10M[#Good
Takht siah (2000),< 1M#Good
The White Canvas (2015),One month#[1K-5K[
Mystre au Moulin Rouge (2011),2 hours#Two months
La caduta degli angeli ribelli (1981),< 1M#Below average
Ready to Rumble (2000),Six months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
Jerry Maguire (1996),[10M-50M[#> 100M*> 100M#Good
Pasteur, l'homme qui a vu (2011),One month#[1M-5M[
Devil's Due (2014),[5M-10M[#[10M-100M[*[10M-100M[#Below average
Whatever Lola Wants (2007),2 hours#Four months*Four months#[5M-10M[
Stretch (2011),1.5 hours#Four months*Four months#[1M-5M[
Elvis on Tour (1972),One month#[500K-1M[
Brdre (2004),< 1M#Good
Boyfriend (2004),30 minutes#One month*One month#[1K-5K[
Hinokio (2005),< 1M#Good
La fille de Hambourg (1958),1.5 hours#Two months
Repossessed (1990),[1M-10M[#Below average
Obietnica (2014),< 1M#Below average
Ardit (2014),One month#[10K-50K[
Finishing the Game: The Search for a New Bruce Lee (2007),[100K-500K[#< 1M*< 1M#Good
Fire with Fire (1986),[1M-10M[#Good
Clara y Elena (2001),< 1M#Good
Charlotte's Web (2006),> 100M#Good
Yip Man (2008),[10M-50M[#[10M-100M[*[10M-100M[#Excellent
Stormy Weather (1943),1.5 hours#Two months
Z'olushka (2012),[1M-10M[#Below average
El redentor (1959),< 1M#Excellent
Hard to Be Me (2010),1 hour#Two months
Tali-Ihantala 1944 (2007),Four months#[1M-5M[*[1M-5M[#[1M-10M[*[1M-10M[#Below average
The Bet (2006),2 hours#Two months*Two months#[1M-5M[
Moonraker (1979),More than six months#[10M-50M[*[10M-50M[#> 100M*> 100M#Good
Papillon (1973),Four months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Excellent
Millions (2004),[1M-10M[#Good
Pastime (1990),2 hours#Two months*< 1M#Good
The Last Breakfast (2008),[5K-10K[#< 1M*< 1M#Excellent
Legend (1985),[10M-50M[#[10M-100M[*[10M-100M[#Good
The Killer Elite (1975),< 1M#Good
Deadwood Park (2007),2 hours#More than six months
Virgin (2003),[10K-50K[#< 1M*< 1M#Below average
...E si salv solo l'aretino Pietro con una mano avanti e l'altra dietro (1972),< 1M#Below average
Kuningasjtk (1998),Two months#[1M-5M[
Monkey Shines (1988),2 hours#Three months*Three months#[5M-10M[*[5M-10M[#[1M-10M[*[1M-10M[#Good
Ercole (1956),30 minutes#Three months
Faster (2010),Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Young and Dangerous (1957),< 1M#Good
High Strung (2016),[1M-10M[#Good
The Ruins (2008),Three months#[5M-10M[*[5M-10M[#[10M-100M[*[10M-100M[#Below average
Le 7eme mensonge (2003),[1M-5M[#< 1M*< 1M#Good
Speak Easily (1932),1.5 hours#Two months
Ci vuole un gran fisico (2013),< 1M#Below average
Syngu sabour, pierre de patience (2012),< 1M#Good
Wanted (2008),Three months#>= 50M*>= 50M#> 100M*> 100M#Good
Fist of Honor (1993),2 hours#One month
Les louves (1957),2 hours#Two months
Major League: Back to the Minors (1998),[1M-10M[#Below average
In the Shadow of the Moon (2007),[1M-5M[#[1M-10M[*[1M-10M[#Excellent
Good Night, and Good Luck. (2005),Three months#[5M-10M[*[5M-10M[#[10M-100M[*[10M-100M[#Good
Der letzte schne Tag (2011),1.5 hours#Two months
Tintin et le lac aux requins (1972),< 1M#Good
I'm Calling Frank (2007),[1M-5M[#[10M-100M[*[10M-100M[#Good
Venom (2005),< 1M#Below average
Aventuras del barbero de Sevilla (1954),< 1M#Good
Broken English (1996),< 1M#Good
The Oscar Nominated Short Films 2016: Live Action (2016),[1M-10M[#Good
La danse (2009),< 1M#Good
Untitled Krysten Resnick Project (2013),One month#[10K-50K[
A Heart's Journey (2014),Two months#[1K-5K[
Mega Mindy Versus ROX (2015),< 1M#Good
La belle et la toute petite bte (2003),2 hours#Two months
Ultima noapte de dragoste (1980),More than six months#< 1K
O Homem Que Desafiou o Diabo (2007),< 1M#Good
Captain Lust (1977),1.5 hours#Two months
A Little Princess (1995),Four months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Abuso di potere (1972),< 1M#Good
Suzy (1936),Two months#[500K-1M[
En krleks sommar (1979),< 1M#Below average
Aqu llega Condemor, el pecador de la pradera (1996),[1M-10M[#Bad
Das de feria (1960),< 1M#Below average
Decoding Annie Parker (2013),[1M-5M[#< 1M*< 1M#Good
The Boys of Ghost Town (2009),2 hours#Two months*Two months#[100K-500K[
Dreamcatcher (2003),>= 50M#[10M-100M[*[10M-100M[#Below average
7 donne per i MacGregor (1967),< 1M#Below average
Our Gang (1922),30 minutes#Three months
S. Darko (2009),[1M-5M[#< 1M*< 1M#Bad
The Hub (2016),Less than 15 minutes#Less than a week*Less than a week#[1K-5K[
Bame mi amor (1968),1.5 hours#Two months
Mark Twain's America in 3D (1998),[1M-10M[#Good
Collision (2011),More than six months#[5K-10K[
Terminal Bliss (1990),< 1M#Below average
Continental Divide (1981),[10M-100M[#Good
Karmina 2 (2001),[1M-5M[#< 1M*< 1M#Below average
Fifty/Fifty (1992),< 1M#Below average
Fear of a Black Republican (2011),2 hours#More than six months
Alaska: State of Emergency (2015),One month#[5K-10K[
Enemies Closer (2013),One month#[1M-5M[
The Bourne Ultimatum (2007),More than six months#>= 50M*>= 50M#> 100M*> 100M#Excellent
THX 1138 (1971),[500K-1M[#[1M-10M[*[1M-10M[#Good
Martha - Meet Frank, Daniel and Laurence (1998),[1M-10M[#Good
Ying hung boon sik II (1987),[1M-10M[#Good
En el nombre del hijo (2006),Less than 15 minutes#One month*One month#< 1K
The Nutty Professor (1963),[1M-10M[#Good
Overboard (1987),[10M-100M[#Good
Fahrenhype 9/11 (2004),[100K-500K[#[1M-10M[*[1M-10M[#Below average
Viaje sin destino (1942),< 1M#Good
Parker (2013),Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
The Ledge (2011),[5M-10M[#< 1M*< 1M#Good
Thirty Years (2011),Less than 15 minutes#One month
Day by Day: A Director's Journey Part II (2003),30 minutes#More than six months
Killer Force (1976),< 1M#Below average
Il mio West (1998),1.5 hours#Three months*Three months#[5M-10M[*[5M-10M[#[1M-10M[*[1M-10M[#Below average
Setenta veces siete (1968),< 1M#Good
Wedding Worries (1941),Less than 15 minutes#Less than a week*Less than a week#[10K-50K[*[10K-50K[#< 1M*< 1M#Below average
Il padrone delle ferriere (1959),< 1M#Good
The Inner Life of Martin Frost (2007),2 hours#Three months*< 1M#Below average
Vermont Is for Lovers (1992),< 1M#Good
Min ja Morrison (2001),[1M-5M[#[1M-10M[*[1M-10M[#Below average
Random Natural Occurrence (2010),Less than 15 minutes#Less than a week*Less than a week#[1K-5K[
Fulano y Mengano (1957),< 1M#Good
De verbouwing (2012),[1M-10M[#Good
La casa de las Chivas (1972),< 1M#Below average
Morado (2011),Less than 15 minutes#Less than a week*Less than a week#[1K-5K[
The Pickle (2012),Less than a week#[5K-10K[
The Peacemaker (1997),Four months#[10M-50M[*[10M-50M[#> 100M*> 100M#Below average
Dancing at the Blue Iguana (2000),3 hours#Four months*< 1M#Below average
Stille Nacht (2004),< 1M#Good
Sugar & spice: Fmi zekka (2006),3 hours#Three months
The Book of Zombie (2010),More than six months#[10K-50K[
Blackboard Jungle (1955),Two months#[1M-5M[*[1M-5M[#[1M-10M[*[1M-10M[#Good
Go Fuck Yourself Oliver (2015),Less than a week#[1K-5K[
Top Gun in 60 Seconds (2010),Five months#< 1K
Die Tr mit den 7 Schlssern (1962),2 hours#Two months
Boy A (2007),< 1M#Good
Turning the Hands of Time (2016),One month#[100K-500K[
Akira (1988),[5M-10M[#[10M-100M[*[10M-100M[#Excellent
Prbehy obycejnho slenstv (2005),2 hours#Four months
La posesin de Emma Evans (2010),[1M-5M[#[1M-10M[*[1M-10M[#Below average
Maciste contro i cacciatori di teste (1963),< 1M#Bad
Sai de ke  ba lai: Tai yang qi (2011),[10M-50M[#< 1M*< 1M#Good
I Think I Do (2013),One month#[500K-1M[
Buck Rogers in the 25th Century (1979),[1M-5M[#[10M-100M[*[10M-100M[#Good
Sample People (2000),2 hours#Two months*Two months#[1M-5M[*[1M-5M[#< 1M*< 1M#Below average
The Butcher Boy (1997),[1M-10M[#Good
Take Me Home Tonight (2011),2 hours#Two months*Two months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Good
Drishyam (2013),[500K-1M[#[1M-10M[*[1M-10M[#Excellent
Orfeu (1999),< 1M#Good
The Blue Note (2007),One month#[5K-10K[
Mechenosets (2006),Three months#[1M-5M[
A Common Relationship (2014),One month#[1K-5K[
Merry Mavericks (1951),30 minutes#Less than a week
The Commune (2009),2 hours#Three months
Deutschland im Herbst (1978),< 1M#Good
Praybeyt Benjamin (2011),[1M-10M[#Below average
Dying God (2008),1.5 hours#One month*One month#[100K-500K[
S.F.W. (1994),< 1M#Below average
Der Baader Meinhof Komplex (2008),Four months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Pasqualino Cammarata... capitano di fregata (1974),< 1M#Below average
Siegfried & Roy: The Magic Box (1999),[1M-10M[#Below average
This Boy's Life (1993),[1M-10M[#Good
First Day (2016),Less than a week#< 1K
Touch (1997),< 1M#Below average
De sang et d'encre (2008),1.5 hours#Two months
The Ringer (2005),[10M-100M[#Below average
Munger Road (2011),[100K-500K[#< 1M*< 1M#Below average
Goodbye Miss Stolin (2017),More than six months#[1M-5M[
Starship Troopers (1997),Six months#>= 50M*>= 50M#> 100M*> 100M#Good
Cheery Point (2013),Three months#[5K-10K[
Trial by Combat (1976),< 1M#Below average
The Envy (2011),Less than 15 minutes#Less than a week*Less than a week#[10K-50K[
Conversaciones con mam (2004),1.5 hours#Two months
The Cost of Love (2011),One month#[100K-500K[
De brief voor de koning (2008),[5M-10M[#[1M-10M[*[1M-10M[#Below average
Unohtumattomia elmyksi (2005),Less than 15 minutes#Less than a week
Engel (1998),30 minutes#Three months
Garon stupide (2004),[100K-500K[#< 1M*< 1M#Good
The Oh in Ohio (2006),[1M-5M[#< 1M*< 1M#Below average
Sepolta viva (1973),< 1M#Below average
Last Hippie Standing (2002),Three months#[10K-50K[
My Darling Clementine (1946),2 hours#Four months*Four months#[1M-5M[
Il racconto dei racconti - Tale of Tales (2015),Three months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Good
Godsend (2004),[10M-50M[#[10M-100M[*[10M-100M[#Below average
McFarland, USA (2015),[10M-50M[#[10M-100M[*[10M-100M[#Good
Pumping Iron II: The Women (1985),< 1M#Below average
The Lovely Bones (2009),>= 50M#[10M-100M[*[10M-100M[#Good
Metropolis (1927),More than 3 hours#More than six months*More than six months#[1M-5M[*[1M-5M[#< 1M*< 1M#Excellent
Storage 24 (2012),< 1M#Below average
Fist of the North Star (1995),1.5 hours#Two months*Two months#[5M-10M[
Yo, 'El Vaquilla' (1985),< 1M#Below average
Living Surfaces (2009),30 minutes#Less than a week*Less than a week#[50K-100K[
Los tarantos (1963),< 1M#Good
Los chicos con las chicas (1967),< 1M#Below average
Enemy Territory (1987),< 1M#Good
Mozart and the Whale (2005),2 hours#Two months*Two months#[10M-50M[*[10M-50M[#< 1M*< 1M#Good
The Ten Commandments (2007),[5M-10M[#< 1M*< 1M#Bad
Sordid Lives (2000),[1M-10M[#Good
A Fix (2008),Three months#[10K-50K[
Mere Baap Pehle Aap (2008),< 1M#Below average
Winterawakening (2011),Less than 15 minutes#Less than a week*Less than a week#[5K-10K[
A Dangerous Man (2009),One month#[5M-10M[
La rana verde (1960),< 1M#Below average
Magic in the Moonlight (2014),[10M-50M[#[10M-100M[*[10M-100M[#Good
Matchstick Men (2003),2 hours#Two months*Two months#>= 50M*>= 50M#[10M-100M[*[10M-100M[#Good
Fararishtay kifti rost (2002),< 1M#Good
Rakkauselokuva (1984),1.5 hours#One month*One month#[100K-500K[
Mona Lisa Smile (2003),Five months#>= 50M*>= 50M#> 100M*> 100M#Good
Plomo sobre Dallas (1970),< 1M#Bad
Przemiany (2003),One month#[100K-500K[
Roskisprinssi (2011),Two months#[1M-5M[
Motel Blue (1997),1.5 hours#One month*One month#[1M-5M[
Mat (1926),< 1M#Good
Hotel for Dogs (2009),[10M-50M[#> 100M*> 100M#Below average
Reel Paradise (2005),< 1M#Good
La scuola (1995),[1M-10M[#Good
Nan dou guan san dou bei shao ye (1984),< 1M#Good
Cut (2000),30 minutes#Two months*< 1M#Below average
Sisanje (2010),[500K-1M[#< 1M*< 1M#Good
The Key (1958),3 hours#Six months
Golden Apples of the Sun (1973),More than six months#[50K-100K[
Andrea (2005),2 hours#More than six months*More than six months#[100K-500K[
Trespass (2011),Two months#[10M-50M[*[10M-50M[#< 1M*< 1M#Below average
Psychosis (2009),Less than 15 minutes#Two months
Six Reasons Why (2008),[100K-500K[#[1M-10M[*[1M-10M[#Bad
Eroded (2011),Less than a week#[5K-10K[
Last Rites (1988),< 1M#Below average
The Adventures of Tintin (2011),>= 50M#> 100M*> 100M#Good
Calle 54 (2000),< 1M#Good
Tomorrowland (2015),More than six months#>= 50M*>= 50M#> 100M*> 100M#Good
Invalid Debris (2010),1.5 hours#Two months
The Deaths of Ian Stone (2007),< 1M#Below average
Making Mr. Right (2008),One month#[1M-5M[
To Kill a Mockingbird (1962),Four months#[1M-5M[*[1M-5M[#[10M-100M[*[10M-100M[#Excellent
Tomcats (2001),Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
Un homme  abattre (1967),2 hours#One month*< 1M#Good
Lola (2001),< 1M#Below average
How to Deal (2003),[10M-50M[#[10M-100M[*[10M-100M[#Below average
September (1987),More than six months#[5M-10M[*[5M-10M[#< 1M*< 1M#Good
Wagons East (1994),[1M-10M[#Below average
Come See the Paradise (1990),< 1M#Good
Marci X (2003),1.5 hours#Three months*Three months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Bad
Leikkikalugangsteri (1969),[10K-50K[#< 1M*< 1M#Below average
Eric Blair and I (2016),More than six months#[5K-10K[
A Perfect Song (2003),2 hours#Two months*Two months#< 1K
A Passion to Kill (1999),Two months#[5K-10K[
The Monkey Within (2005),Less than 15 minutes#Less than a week*Less than a week#< 1K
Squanto: A Warrior's Tale (1994),Three months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Good
El Gran Vzquez (2010),[1M-10M[#Good
Possession (2002),Five months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Flesh Gordon Meets the Cosmic Cheerleaders (1990),2 hours#Three months*Three months#[1M-5M[
Menos es ms (2000),< 1M#Below average
Taal (1999),< 1M#Good
Going Upriver: The Long War of John Kerry (2004),< 1M#Good
rase una vez (1950),< 1M#Good
Glenville (1999),2 hours#Five months*Five months#< 1K
No existe el adis (2010),30 minutes#Less than a week*Less than a week#[10K-50K[
Il passatore (1947),< 1M#Below average
Mutlucu (2013),One month#< 1K
Rzhevskiy protiv Napoleona (2012),[5M-10M[#[1M-10M[*[1M-10M[#Bad
The Night Listener (2006),[1M-5M[#[1M-10M[*[1M-10M[#Below average
Tystnaden (1963),< 1M#Excellent
Jeepers Creepers (2001),Two months#[5M-10M[*[5M-10M[#[10M-100M[*[10M-100M[#Good
Krantz (2009),30 minutes#One month*One month#[1K-5K[
Maciste nell'inferno di Gengis Khan (1964),< 1M#Below average
National Lampoon's European Vacation (1985),Five months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Bolivia (2001),< 1M#Good
The Education of Charlie Banks (2007),[1M-5M[#< 1M*< 1M#Good
How to Cook Your Life (2007),< 1M#Good
Keg of the Dead (2006),Less than 15 minutes#Less than a week*Less than a week#[1K-5K[
Fire Birds (1990),Four months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
Il ricco, il povero e il maggiordomo (2014),[10M-100M[#Below average
Project: Reality (2018),Less than 15 minutes#More than six months*More than six months#[10K-50K[
The River Rat (1984),[1M-10M[#Good
A Shine of Rainbows (2009),2 hours#Two months*Two months#[1M-5M[
Somewhere Only We Know (2008),[1K-5K[#< 1M*< 1M#Excellent
Lo chiamavano Bulldozer (1978),2 hours#Two months
Il boss (1973),< 1M#Good
Education in Love (2017),Six months#[1K-5K[
San Andreas (2015),Four months#>= 50M*>= 50M#> 100M*> 100M#Good
Sausage Party (2016),[10M-50M[#[10M-100M[*[10M-100M[#Good
Snarveien (2009),1.5 hours#Two months
The Playmaker (2005),Less than a week#[10K-50K[
Le feu aux poudres (1957),2 hours#Three months
Le pique-nique de Lulu Kreutz (2000),< 1M#Below average
True Lies (1994),More than six months#>= 50M*>= 50M#> 100M*> 100M#Good
Alice on the Farm (1926),Less than 15 minutes#One month
Techo y comida (2015),Two months#[10K-50K[
Il mio amico Jekyll (1960),< 1M#Below average
La vida en un hilo (1945),< 1M#Good
Noche de reyes (2001),< 1M#Below average
Playtime (1967),3 hours#More than six months
Anger Management (2003),Four months#>= 50M*>= 50M#> 100M*> 100M#Good
Final Exam (1981),Two months#[100K-500K[*[100K-500K[#[1M-10M[*[1M-10M[#Below average
Hostel: Part II (2007),Three months#[5M-10M[*[5M-10M[#[10M-100M[*[10M-100M[#Below average
Misery Loves Comedy (2015),< 1M#Good
This Is This (2008),Less than 15 minutes#Less than a week
Nid de gupes (2002),< 1M#Good
En chance til (2014),Four months#[1M-5M[
Zero in the System (2013),1.5 hours#Two months
Dreamers (2013),Less than a week#[5K-10K[
Pikkuveli (2010),Two months#[100K-500K[
Tideland (2005),[10M-50M[#< 1M*< 1M#Good
Shiawase no pan (2012),< 1M#Good
Als twee druppels water (1963),[100K-500K[#< 1M*< 1M#Good
Tanto Para Andar At Dormir (2013),Less than a week#[1K-5K[
Spontaneous Combustion (1990),2 hours#Three months*Three months#[5M-10M[
Das Kindermdchen (2012),1.5 hours#Two months
Belle al bar (1994),[1M-10M[#Good
Giants vs. Yanks (1923),30 minutes#One month
Ya tenemos coche (1958),< 1M#Below average
Naomi's Web (2000),< 1K#[1M-10M[*[1M-10M[#Good
Seoul Searching (2015),[1M-5M[#< 1M*< 1M#Good
Cop Car (2015),< 1M#Good
Tv kvinnor (1947),2 hours#Four months
Angel of the Skies (2013),More than six months#[10K-50K[
Gabrielle (2005),< 1M#Good
My Neighbour the Giant Boat (2006),30 minutes#One month*One month#[1K-5K[
Frauen im Liebeslager (1977),< 1M#Below average
Nola (2003),< 1M#Below average
Francesca da Rimini (2004),3 hours#Two months
Dirty Tricks 2: This Ain't Love (1996),< 1M#Good
Kees de jongen (2003),[1M-5M[#< 1M*< 1M#Good
Le bonheur des autres (2011),2 hours#Three months
The Stakes (2012),30 minutes#Less than a week*Less than a week#[5K-10K[
Wolvesbayne (2009),One month#[1M-5M[
Der Teppich des Grauens (1962),< 1M#Good
Craw Lake (2007),Less than a week#[10K-50K[
Ted (2012),2 hours#Four months*Four months#[10M-50M[*[10M-50M[#> 100M*> 100M#Good
Emmanuelle (1974),2 hours#Two months*Two months#[100K-500K[*[100K-500K[#[10M-100M[*[10M-100M[#Below average
Nosferatu: Phantom der Nacht (1979),2 hours#Three months*< 1M#Good
Zombies of the Stratosphere (1952),One month#[100K-500K[
The Gun Fighter (1917),1 hour#Two months
Habibie & Ainun (2012),More than six months#[50K-100K[*[50K-100K[#< 1M*< 1M#Good
Massacre en dentelles (1952),2 hours#Two months
Oktyabr (1928),2 hours#More than six months*< 1M#Good
Drink and a Smile (2015),One month#[5K-10K[
Actiunea Autobuzul (1978),Two months#< 1K
The Kingdom (2007),>= 50M#[10M-100M[*[10M-100M[#Good
Quiet Desperation (2003),30 minutes#One month
Just One Time (1999),< 1M#Good
Scalene (2011),One month#[100K-500K[
Almost You (1985),[500K-1M[#< 1M*< 1M#Below average
Wild Orchids (1929),Two months#[100K-500K[*[100K-500K[#< 1M*< 1M#Good
El hombre de Ro Malo (1971),< 1M#Below average
New Nightmare (1994),2 hours#Four months*Four months#[5M-10M[*[5M-10M[#[10M-100M[*[10M-100M[#Good
Jnmurtaja (1997),1.5 hours#Two months*Two months#[100K-500K[
Tigerland (2000),Two months#[5M-10M[*[5M-10M[#< 1M*< 1M#Good
Frontera al sur (1967),< 1M#Good
Biloxi Blues (1988),2 hours#Three months*Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Sex Drive (2008),More than six months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Modern Problems (1981),[5M-10M[#[10M-100M[*[10M-100M[#Below average
Klimt (2006),< 1M#Below average
Forever Mine (1999),2 hours#Four months*Four months#[10M-50M[
Three Ages (1923),< 1M#Good
Diamonds (1999),< 1M#Below average
La messa  finita (1985),< 1M#Good
Valiant (2005),[10M-50M[#[10M-100M[*[10M-100M[#Below average
Chernobyl Diaries (2012),[500K-1M[#[10M-100M[*[10M-100M[#Below average
Underdog (2007),[10M-100M[#Below average
Birth (2004),[10M-50M[#[10M-100M[*[10M-100M[#Good
Palombella rossa (1989),< 1M#Good
Saw 3D (2010),Three months#[10M-50M[*[10M-50M[#> 100M*> 100M#Below average
The Incredibles (2004),>= 50M#> 100M*> 100M#Good
Misin Lisboa (1965),< 1M#Below average
Mou gaan dou II (2003),[1M-10M[#Good
El nio de barro (2007),2 hours#Three months
Skepp till India land (1947),1.5 hours#Two months
Golden Kingdom (2015),< 1M#Good
The Balloonatic (1923),< 1M#Good
The Long Day's Dying (1968),< 1M#Good
Love & Sex (2000),< 1M#Good
Puteri gunung ledang (2004),[1M-5M[#< 1M*< 1M#Good
Dejando Huella - Leaving Traces (2015),Two months#[1K-5K[
Centro De Gravidade (2011),[10K-50K[#< 1M*< 1M#Good
Nya hyss av Emil i Lnneberga (1972),< 1M#Good
Mike and I (2014),More than six months#[50K-100K[
Devils Racecourse (2009),1.5 hours#Three months
The Village Barbershop (2008),< 1M#Good
Caregiver (2008),[1M-10M[#Good
Death Weekend (1976),Two months#[100K-500K[
Ladri di biciclette (1948),1.5 hours#Four months*Four months#[100K-500K[*[100K-500K[#< 1M*< 1M#Excellent
Full Out (2015),One month#[1M-5M[
The Drip Incident (2006),Less than 15 minutes#One month*One month#[1K-5K[
Hameln (1969),< 1M#Good
De laatste zomer (2007),< 1M#Good
Giorni della Merla (2011),Four months#[10K-50K[
North China Commune (1980),One month#[100K-500K[
Her Knight (2003),30 minutes#One month*One month#[10K-50K[
Just the Way You Are (1984),[1M-10M[#Good
Unleashed (2005),[10M-50M[#[10M-100M[*[10M-100M[#Good
Porky's Revenge (1985),[5M-10M[#[10M-100M[*[10M-100M[#Below average
Parked (2016),Two months#[5K-10K[
Pazze di me (2013),[1M-10M[#Below average
Biba la banda! (1987),< 1M#Good
The One (2001),[10M-50M[#[10M-100M[*[10M-100M[#Below average
Dood eind (2006),[1M-5M[#< 1M*< 1M#Below average
Maria Larssons eviga gonblick (2008),2 hours#Four months*Four months#[1M-5M[*[1M-5M[#< 1M*< 1M#Good
Please Give (2010),[1M-10M[#Good
Jungle Fever (1991),Five months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Ipnosi (1962),< 1M#Below average
Kites Toward Heaven (1997),One month#[10K-50K[
La venganza de Clark Harrison (1966),< 1M#Below average
Seven Minutes in Heaven (1985),< 1M#Good
Kiss of the Black Widow (2001),< 1M#Good
Warlock (1989),[5M-10M[#[1M-10M[*[1M-10M[#Good
Hunting (1991),2 hours#Two months
Heart Connected (2015),Less than 15 minutes#Less than a week*Less than a week#< 1K
The Dog Problem (2006),< 1M#Good
The Junkman (1982),2 hours#More than six months
Hoe duur was de suiker (2013),[5M-10M[#[1M-10M[*[1M-10M[#Good
Mujhse Shaadi Karogi (2004),< 1M#Good
50 to 1 (2014),[5M-10M[#< 1M*< 1M#Good
Promeni me (2007),< 1M#Below average
The Freak Next Door (2012),Four months#< 1K
The Road to Yesterday (1925),[100K-500K[#< 1M*< 1M#Good
Ask the Dust (2006),< 1M#Below average
The Last Protagonist of Edward Dryden (2005),< 1M#Excellent
Last Weekend (2016),One month#[5K-10K[
Town & Country (2001),Five months#>= 50M*>= 50M#[1M-10M[*[1M-10M[#Below average
Kankerlijers (2014),< 1M#Good
3 Godfathers (1948),[1M-5M[#[1M-10M[*[1M-10M[#Good
The Great Gatsby (2013),Five months#>= 50M*>= 50M#> 100M*> 100M#Good
Ceremony (2010),< 1M#Below average
Le peuple migrateur (2001),[10M-50M[#[10M-100M[*[10M-100M[#Excellent
Agente segreto 777 - Invito ad uccidere (1966),< 1M#Below average
Jin lian (1976),< 1M#Good
Alice (1990),[10M-50M[#[1M-10M[*[1M-10M[#Good
Mobsters (1991),[10M-50M[#[10M-100M[*[10M-100M[#Below average
Brent Lee and the Outsiders: Rose Tattoo (1992),Less than 15 minutes#Less than a week*Less than a week#[5K-10K[
1,042 (2011),Less than 15 minutes#Less than a week*Less than a week#[1K-5K[
East Is East (1999),[1M-5M[#[10M-100M[*[10M-100M[#Good
The Tower of Lies (1925),Two months#[100K-500K[
Rainbow Brite and the Star Stealer (1985),[1M-10M[#Good
Hitchcock (2012),[10M-100M[#Good
Chicago (2002),Six months#[10M-50M[*[10M-50M[#> 100M*> 100M#Good
Gusanos de seda (1977),< 1M#Good
Plemya (2014),< 1M#Good
Honeymoon Academy (1989),2 hours#Four months*< 1M#Below average
Ways to Live Forever (2010),Two months#[1M-5M[
River's Edge (1986),[1M-5M[#[1M-10M[*[1M-10M[#Good
Monty Python and the Holy Grail (1975),Two months#[100K-500K[*[100K-500K[#[1M-10M[*[1M-10M[#Excellent
Rusty (2002),1 hour#Six months
Severance (2006),1.5 hours#Three months*Three months#[5M-10M[*[5M-10M[#[1M-10M[*[1M-10M[#Good
You Can't Run Away from It (1956),[1M-10M[#Good
La noche de la furia (1974),< 1M#Below average
Jeanne et le garon formidable (1998),< 1M#Good
Prima dammi un bacio (2003),< 1M#Good
Powder River (1953),Two months#[500K-1M[*[500K-1M[#< 1M*< 1M#Good
Come September (1961),[10M-100M[#Good
Blackthorn (2011),[1M-10M[#Good
Horloge biologique (2005),[1M-5M[#[1M-10M[*[1M-10M[#Good
Amarcord (1973),[1M-10M[#Excellent
C'est jeune et a sait tout! (1974),1.5 hours#Two months*Two months#[100K-500K[
Za rasuto messji: Umizaru (2010),[10M-100M[#Good
Per qualche dollaro in pi (1965),Four months#[500K-1M[*[500K-1M[#[10M-100M[*[10M-100M[#Excellent
Synevir (2013),[100K-500K[#< 1M*< 1M#Bad
The Stupids (1996),Three months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Below average
Zombie A-Hole (2012),More than six months#[1K-5K[
Truth Hurts (2009),Less than 15 minutes#Less than a week
Circularis (2017),Four months#[1M-5M[
Django: la otra cara (2002),[100K-500K[#[1M-10M[*[1M-10M[#Below average
Shakespeare's Dilemma (2003),1 hour#More than six months*More than six months#< 1K
Seu-pa-i (2013),[10M-100M[#Good
The Peanuts Movie (2015),>= 50M#> 100M*> 100M#Good
The Bad Batch (2016),Two months#[5M-10M[
The Client (1994),Three months#[10M-50M[*[10M-50M[#> 100M*> 100M#Good
Westsider (2007),30 minutes#More than six months*More than six months#[5K-10K[
A Love Song for Bobby Long (2004),< 1M#Good
Reapers: World in Chains (2007),1 hour#Three months
